名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
荆芥,Jingjie,Fineleaf Schizonepeta Herb,Schizonepetae Herba,全草类,唇形科植物荆芥Schizonepeta tenuifolia Briq.的干燥地上部分。,主产于江苏、浙江、河北、河南等地。,本品茎呈方柱形，上部有分枝，长50~80cm，直径0.2~0.4cm；表面淡黄绿色或淡紫红色，被短柔毛；体轻，质脆，断面类白色。叶对生，多已脱落，叶片3~5羽状分裂，裂片细长。穗状轮伞花序顶生，长2~9cm，直径约7mm。花冠多脱落，宿萼钟状，先端5齿裂，淡棕色或黄绿色，被短柔毛；小坚果棕黑色。气芳香，味微涩而辛凉。,以色淡黄绿、香气浓、穗长而密者为佳。,辛，微温。,解表散风，透疹，消疮，止血。用于感冒，麻疹透发不畅，便血、崩漏、鼻衄。
金钱草,Jinqiancao,Christina Loosestrife Herb,Lysimachiae Herba,全草类,报春花科植物过路黄Lysimachia christinae Hance的干燥全草。,主产四川、贵州、云南等地区。,全草多皱缩成团，下部茎节上有时着生纤细须根。茎扭曲，直径约1mm；表面红棕色，具纵直纹理；断面实心，灰白色。叶对生，多皱缩破碎，完整叶宽卵形或心形，全缘，上面暗绿色至棕绿色，下面色较浅，用水浸后，透光可见黑色短条纹；叶柄细长，叶腋有时可见花或果实。气微、味淡。,以叶大、色绿者为佳。,甘、咸，微寒。,利水通淋；清热解毒；散瘀消肿。主治肝胆及泌尿系结石；热淋；肾炎水肿；湿热黄疸；疮毒痈肿；毒蛇咬伤；跌打损伤。
卷柏,Juanbai,Tamarisklike Spikemoss Herb,Selaginellae Herba,全草类,卷柏科植物卷柏Selaginella tamariscina (Beauv.) Spring、垫状卷柏Selaginella pulvinata (Hook. et Grev.) Maxim的干燥全草。,主产于广东、福建、湖南、四川等地。,卷柏：卷缩似拳状，长3~10cm。 枝丛生，扁而有分枝，绿色或棕黄色，向内卷曲，枝上密生鳞片状小叶，叶先端具长芒，中叶 (腹叶) 两行，卵状矩圆形，斜向上排列，叶缘膜质，有不整齐的细锯齿。背叶 (侧叶) 背面的膜质边缘常呈棕黑色。基部残留棕色至棕褐色须根，散生或聚生成短干状。质脆，易折断。无臭，味淡。垫状卷柏：须根多散生。中叶 (腹叶) 两行，卵状披针形，直向上排列。叶片左右两侧不等，内缘较平直，外缘常因内折而加厚，呈全缘状。,以叶多、完整、不碎、绿色者为佳。,辛，平。,活血通经。用于经闭痛经，癓瘕痞块，跌扑损伤。外用可治刀伤。卷柏炭化瘀止血。用于吐血，崩漏，便血，脱肛。
鹿衔草,Luxiancao,Chinese Pyrola Herb,Pyrolae Herba,全草类,鹿蹄草科植物鹿蹄草Pyrola calliantha H. Andres或普通鹿蹄草Pyrola decorata H. Andres的干燥全草。,主产于甘肃、陕西、河南、安徽等地。,干燥全草，茎紫褐色，稍具棱，并有皱纹，无毛，微有光泽。叶柄长，扁平而中央凹下，两边呈膜质状，常弯曲，无毛。叶片皱缩，稍破碎，上面紫红色，少有呈棕绿色者，光滑，下面紫红色，无毛，叶脉微突；纸质，易碎。有时可见花茎，上有数朵小花或扁球形棕色蒴果。气无，味微苦。,以紫红色或紫褐色、无杂质者为佳。,甘、苦，温。,补虚、益肾、祛风除湿、活血调经、补肾强骨、祛风除湿、止咳、止血。主肾虚腰痛、风湿痹痛、筋骨痿软、新久咳嗽、吐血、衄血、崩漏、外伤出血。
麻黄,Mahuang,Chinese Ephedrs Herb,Ephedrae Herba,全草类,麻黄科植物草麻黄Ephedra sinica Stapf、木贼麻黄Ephedra equisetina Bge.与中麻黄Ephedra intermedia Schrenk et C. A. Mey.的干燥草质茎。,主产内蒙古、新疆、山西等地。,草麻黄：呈细长圆柱形，少分枝；直径1~2cm。有的带少量棕色木质茎。表面淡绿色至黄绿色，有细纵脊线，触之微有粗糙感。节明显，节间长2~6cm。节上有膜质鳞叶，长3~4mm；裂片2 (稀3)，锐三角形，先端灰白色，反曲，基部联合成筒状，红棕色。体轻，质脆，易折断，断面略呈纤维性，周边绿黄色，髓部红棕色，近圆形。气微香，味涩、微苦。木贼麻黄：较多分枝，直径1~1.5cm，无粗糙感。节间长1.5~3cm。膜质鳞叶长 1~2mm ；裂片2 (稀3)，上部为短三角形，灰白色，先端多不反曲，基部棕红色至棕黑色。中麻黄：多分枝，直径1.5~3cm，有粗糙感。节间长2~6cm，膜质鳞叶长2~3mm，裂片3 (稀2)，先端锐尖。断面髓部呈三角状圆形。,均以淡绿色或黄绿色，内心红棕色、味苦涩、手拉不脱节者为佳。,辛、微苦，温。,发汗散寒，宣肺平喘，利水消肿。
木贼,Muzei,Common Scouring Rush,Equiseti Hiemalis Herba,全草类,木贼科植物木贼Equisetum hiemale L.的干燥地上部分。,主产陕西、湖北以及东北地区。,茎呈长管状，不分枝。长40~60cm，直径约6mm。表面灰绿色或黄绿色，有18~30条细纵纵棱，平直排列，棱脊上有2行细小的疣状突起，触之稍挂手。节上着生鳞处状合生的筒状叶鞘，叶鞘基部和先端具2圈棕黑色较宽的环。鞘片背面有2条棱脊及1条浅沟。质脆，易折断，断面中空。边缘有20~30个小空腔，排列成环状，内有白色或浅绿色的薄瓤。气微，味微涩，嚼之有沙粒感。,以茎长、色绿、质厚、不脱节者为佳。,甘、苦，平。,散风热，退目翳。用于风热目赤，迎风流泪，目生云翳。
蒲公英,Pugongying,Mongolian Dandelion Herb,Taraxaci Herba,全草类,菊科植物蒲公英Taraxacum mongolicum Hand.-Mazz.的干燥全草。,主产于陕西、河北以及东北地区。,皱缩卷曲的团块，根圆柱形，多弯曲长3~7cm，棕褐色，根头部有茸毛，叶破碎，完整叶片为倒披针形，暗灰绿色或绿褐色，边缘浅裂或具有羽状缺刻，基部下延成柄状，下表面主脉明显，花葶1至数条，头状花序顶生，黄褐色或淡黄白色，有的可见多数具有白色冠毛的长椭圆形瘦果，气微，味微苦。,以颜色灰绿、无杂质、干燥者为佳。,甘、微苦，寒。,清热解毒，消肿散结。主治上呼吸道感染，眼结膜炎，流行性腮腺炎，高血糖，乳痈肿痛，胃炎，痢疾，肝炎，胆囊炎，急性阑尾炎，泌尿系感染，盆腔炎，痈疖疔疮，咽炎，治急性乳腺炎，淋巴腺炎，瘰疠，疔毒疮肿，急性结膜炎，感冒发热，急性扁桃体炎，急性支气管炎、尿路感染。
青蒿,Qinghao,Sweet Wormwood Herb,Artemisiae Annuae Herba,全草类,菊科植物黄花蒿Artemisia annua L.的干燥地上部分。,全国各地均产。,茎圆柱形，上部多分枝，长30~80cm，直径0.2~0.6cm，表面黄绿色或棕黄色，具纵棱线；质略硬，易折断，断面中部有髓。叶互生，暗绿色或棕绿色，卷缩，碎，完整者展平后为三回羽状深裂，裂片及小裂片矩圆形或长椭圆形，两面被短毛。气香特异，味微苦。,以色绿、叶多、香气浓者为佳。,苦、辛，寒。,清透虚热，凉血除蒸，除蒸，截疟。用于暑邪发热，阴虚发热，夜热早凉，骨蒸劳热，疟疾寒热，湿热黄疸。
瞿麦,Qumai,Fringed Pink Herb,Dianthi Herba,全草类,石竹科植物石竹Dianthus chinensis L.以及瞿麦Dianthus superbus L.的干燥地上部分。,主产河南、河北、东北等地。,石竹：茎直立，圆形，有分枝，长30~50cm；完整叶条状披针形，长2~9cm，宽2~7mm；萼筒长1~2cm，约为全花的1/2；萼下有数枚小苞片，长约为萼筒的1/2，先端尾状渐尖，覆瓦状排列；有时可见皱缩的花瓣，棕紫色或棕黄色，先端浅裂呈锯齿状。茎质硬脆，折断面中空。气弱，味微甜。瞿麦：茎圆柱形，长30~60cm，节部膨大；表面淡绿色或黄绿色，略有光泽，无毛。叶多皱缩，对生，黄绿色，展平后叶片长条披针形，长2~7cm，宽1~4mm；叶尖稍反卷，基部短鞘状抱茎。花棕紫色或棕黄色，长3~4cm，单生或数朵簇生；具宿萼，萼筒长2.5~3.5cm，约为全花的3/4；萼下有小苞片，长约为萼筒的1/4，先端急尖或渐尖，外表有规则的纵纹；花瓣先端深裂呈流苏状。茎质硬脆，折断面中空。气无，味甘。,以色青绿，花未开放者为佳。,苦，寒。,利尿通淋，破血通经。用于热淋、血淋、石淋、小便不通、淋沥涩痛。
肉苁蓉,Roucongrong,Desertliving Cistanche Herb,Cistanches Herba,全草类,列当科植物肉苁蓉Cistanche deserticola Y. C. Ma、管花肉苁蓉Cistanche tubulosa (Schrenk) Wight的干燥带鳞叶的肉质茎。,主产于内蒙古、新疆、陕西等地。,肉苁蓉：呈扁圆柱形，稍弯曲，长 3~5cm，直径2~8cm，表面棕褐色或灰棕色。密被覆瓦状排列的肉质鳞叶，通常鳞叶先端已断。体重、质硬，微有柔性，不易折断，断面棕褐色，有淡棕色点状维管束，排列成波状环纹。气微味甜、微苦。管花肉苁蓉：呈扁圆柱形、扁纺锤形、扁卵圆形、扁圆形等不规则形，长6~8cm，直径4~6.5cm，表面红棕色、灰黄棕色或棕褐色，多扭曲。密被略呈覆瓦状排列的肉质鳞片，上部密下部疏、鳞片先端多已断落，残基部宽多在l厘米以上，整个鳞片略呈长三角形，高约1cm。体重、质坚硬，无韧性，难折断，断面颗粒性，多呈灰棕色，有的外圈呈黑色硬胶质样。黑褐色点状维管束众多，不规则散在，有的有小裂隙。气微，味甜、微苦。,以条粗壮、密生鳞叶、质柔润者为佳。,甘、咸，温。,具有补肾阳，益精血，润肠通便的功效。主治肾阳虚衰，精血亏损，阳痿，遗精，腰膝冷痛，耳鸣目花，带浊，尿频，月经愆期，崩漏，不孕不育，肠燥便秘。
伸筋草,Shenjincao,Japanese Clubmoss Herb,Lycopodii Herba,全草类,石松科植物石松Lycopodium japonicum Thunb.的干燥全草。,主产于江苏、浙江、湖北等地。,干燥根茎略弯曲，呈结节状，上面具茎痕，下面具多数细长的根，长12~32cm，直径1~3mm，表面黄白色或黄棕色，有细皱纹。质韧，不易折断，断面不平坦，白色，有黄白色木心。气无，味微苦，带粘性。,以茎长、色黄绿者为佳。,苦、辛，温。,祛风散寒，除湿消肿，舒筋活络。用于风寒湿痹，筋脉拘挛疼痈。外用治跌打扭伤肿痛。
石斛,Shihu,Noble Dendrobium Stem Herb,Dendrobii Caulis,全草类,兰科植物金钗石斛Dendrobium nobile Lindl.以及铁皮石斛Dendrobium officinale Kimura et Migo、马鞭石斛Dendrobium fimbriatum Hook. var. oculatum Hook.的新鲜或干燥茎。,主产于广西、云南、浙江、贵州等地。,金钗石斛：茎中、下部扁圆柱形，向上稍“之”字形弯曲，长18~42cm，中部直径0.4~1cm，节间长1.5~6cm。表面金黄色或绿黄色，有光泽，具深纵沟及纵纹，节稍膨大，棕色，常残留灰褐色叶鞘。质轻而脆，断面较疏松。气微，味苦。铁皮石斛：茎细长圆柱形，常弯曲，盘绕成团或捆成把，长11~40cm，直径1~3mm，节间长0.4~2.3cm。表面金黄色，有光泽，具细纵纹。质柔韧而实，断面较平坦。叶鞘常短于节间，留有环状间隙，味淡或微苦。马鞭石斛：茎细长圆锥形，上部有少数分枝，长30~150cm，直径2~8mm，节间长2~4.5cm。表面棕黄色，有8~9条纵沟。质疏松，断面纤维性。气微，味微苦。商品常切成1.5~3cm长段，切面灰白色。,以金黄色、有光泽、质柔韧者为佳。,甘，微寒。,养阴清热，益胃生津。用于热伤津液，低热烦渴，舌红少苔；胃阴不足，口渴咽干，呕逆少食，胃脘隐痛，舌光少苔；肾阴不足，视物昏花。
锁阳,Suoyang,Songaria Cynomorium Herb,Cynomorii Herba,全草类,锁阳科植物锁阳Cynomorium songaricum Rupr. 的干燥肉质茎。,主产内蒙古、宁夏、新疆、甘肃等地。,呈扁圆柱形或一端略细，长8~21cm，直径2~5cm。表面红棕色至深棕色，皱缩不平，形成粗大的纵沟或不规则的凹陷，有时可见三角形的鳞片，和有部分花序存在。质坚硬，不易折断，断面略显颗粒性，棕色而柔润。气微香，味微苦而涩。锁阳片为横切或斜切成的厚约1cm左右的片段，往往用绳穿串。,以个肥大、色红、坚实、断面粉性、不显筋脉者为佳。,甘，温。,补肾润肠。治阳痿，尿血，血枯便秘，腰膝痿弱。
天山雪莲,Tianshanxuelian,Snow Lotus Herb,Saussureae Involucratae Herba,全草类,菊科植物天山雪莲Saussurea involucrata (Kar. et Kir.) Sch. Bip.的干燥地上部分。,主产新疆、青海、甘肃等地。,本品茎呈圆柱形，长2~48cm，直径0.5~3cm；表面黄绿色或黄棕色，有的微带紫色，具纵棱，断面中空。茎生叶密集排列，无柄，或脱落留有残基，完整叶片呈卵状长圆形或广披针形，两面被柔毛，边缘有锯齿和缘毛，主脉明显。头状花序顶生，10~42个密集成圆球形，无梗。苞叶长卵形或卵形，无柄，中部凹陷呈舟状，膜质，半透明。总苞片3~4层，披针形，外层多呈紫褐色，内层棕黄色或黄白色。花管状，紫红色，柱头2裂。瘦果圆柱形，具纵棱，羽状冠毛2层。体轻，质脆。气微香，味微苦。,以完整、叶密集者为佳。,微苦，温。,温肾助阳，祛风胜湿，通经活血。用于风塞湿痹痛、类风湿性关节炎，小腹疼痛，月经不调。
委陵菜,Weilingcai,Chinese Cinquefoil Herb,Potentillae Chinensis Herba,全草类,蔷薇科植物委陵菜Potentilla chinensis Ser.的干燥全草。,主产于安徽、吉林、辽宁、山东等地。,该品根呈圆柱形或类圆锥形，略扭曲，有的有分枝，长5~17cm，直径0.5~1cm；表面暗棕色或暗紫红色，有纵纹，粗皮易成片状剥落；根头部稍膨大；质硬，易折断，断面皮部薄，暗棕色，常与木部分离，射线呈放射状排列。叶基生，单数羽状复叶，有柄；小叶狭长椭圆形，边缘羽状深裂，下表面及叶柄均密被灰白色柔毛。气微，味涩、微苦。,以灰白色、无花茎、无杂质者为佳。,苦，寒。,清热解毒，凉血止痢。用于赤痢腹痛，久痢不止，痔疮出血，痈肿疮毒。
香薷,Xiangru,Chinese Mosla Herb,Moslae Herba,全草类,唇形科植物石香薷Mosla chinensis Maxim.以及香薷变种江香薷Mosla chinensis ‘Jiangxiangru’的干燥地上部分。,主产福建、湖南、广东、广西等地。,全体长14~30cm，被白以短茸毛。茎多分枝，四方柱形，近基部圆形，直径0.5~5mm；表面黄棕以，近基部常呈棕红色，节明显，节间长2~5cm；质脆，易折断，断面淡黄色，叶对生，多脱落，皱缩或破碎，完整者展平后呈狭长披针形，长0.7~2.5cm，宽约4mm，边缘有疏锯齿，黄绿色或暗绿以；质脆，易碎。花轮密集成头状；苞片被白色柔毛；花萼钟状，先端5裂；花冠皱缩或脱落。小是对果4，包于宿萼内，香气浓，味辛凉。栽培品全体长35~60cm，疏被较长的茸毛；茎较粗，节间长4~7cm。,以枝嫩、穗多、香气浓者为佳。,辛、甘，温。,发汗解暑，行水散湿，温胃调中。主治：夏月感寒饮冷，头痛发热，恶寒无汗，胸痞腹痛，呕吐腹泻，水肿，脚气。
仙鹤草,Xianhecao,Hairyvein Agrimonia Herb,Agrimoniae Herba,全草类,蔷薇科植物龙牙草Agrimonia pilosa Ledeb.的干燥地上部分。,主产浙江、江苏等地。,本品长50~100cm，全体被白色柔毛，茎下部圆柱形，直径4~6mm，红棕色，上部方柱形，四面略凹陷，绿褐色，有纵沟及棱线，有节；体轻，质硬，易折断，断面中空。单数羽状复叶互生，暗绿色，皱缩卷曲；质脆，易碎；叶片有大小2种，相间生于叶轴上，顶端小叶较大，完整小叶片展平后呈卵形或长椭圆形，先端尖，基部楔形，边缘有锯齿；托叶2，抱茎，斜卵形。总状花序细长，花萼下部呈筒状，萼筒上部有钩刺，先端5裂，花瓣黄色。气微，味微苦。,以梗紫色、叶青绿、多而完整、无杂质者为佳。,苦、涩，平。,收敛止血，止痢，杀虫。广泛用于各种出血之证，例如：吐血、尿血、便血、崩漏、咯血、衄血，赤白痢疾，劳伤脱力，痈肿，跌打，创伤出血等证。
豨莶草,Xixiancao,Common St. Paulswort HerbGlandulartalk St. Paulswort Herb,Siegesbeckiae Herba,全草类,菊科植物豨莶Siegesbeckia orientalis L.以及腺梗豨莶Siegesbeckia pubescens Makino、毛梗豨莶Siegesbeckia glabrescens Makino的干燥地上部分。,主产长江以南各地。,本品茎略呈方柱形，多分枝，长30~110cm，直径0.3~1cm；表面灰绿色、黄棕色或紫棕色，有纵沟及细纵纹，被灰色柔毛；节明显，略膨大；质脆，易折断，断面黄白色或带绿色，髓部宽广，类白色，中空。叶对生，叶片多皱缩、卷曲，展平后呈卵圆形，灰绿色，边缘有钝锯齿，两面皆有白色柔毛，主脉3出。有的可见黄色头状花序，总苞片匙形。气微，味微苦。,以叶多、绿色、质嫩者为佳。,辛、苦，寒。,祛风湿，利关节，解毒。用于风湿痹痛、筋骨无力 、腰膝酸软、四肢麻痹、半身不遂、风疹湿疮。
益母草,Yimucao,Common Motherwort Herb,Leonuri Herba,全草类,唇形科植物益母草Leonurus japonicus Houtt.的新鲜或干燥地上部分。,全国各地均产。,鲜益母草：幼苗期无茎，基生叶圆心形，边缘5~9浅裂，每裂片有2~3钝齿。花前期茎呈方柱形，上部多分枝，四面凹下成纵沟，长30~60cm，直径0.2~0.5cm ；表面青绿色；质鲜嫩，断面中部有髓。叶交互对生，有柄；叶片青绿色，质鲜嫩，揉之有汁；下部茎生叶掌状3 裂，上部叶羽状深裂或浅裂成3 片，裂片全缘或具少数锯齿。气微，味微苦。干益母草：茎表面灰绿色或黄绿色；体轻，质韧，断面中部有髓。叶片灰绿色，多皱缩、破碎，易脱落。轮伞花序腋生，小花淡紫色，花萼筒状，花冠二唇形。切段者长约2cm。,以枝嫩、黄绿色、带叶花者为佳。,辛、苦，凉。,活血、祛淤、调经、消水。治疗妇女月经不调，胎漏难产，胞衣不下，产后血晕，瘀血腹痛，崩中漏下，尿血、泻血，痈肿疮疡。
茵陈,Yinchen,Capillary Wormwood Herb,Artemisiae Scopariae Herba,全草类,菊科植物茵陈蒿Artemisia capillaris Thunb.或滨蒿Artemisia scoparia Waldst. et Kit.的干燥地上部分。春季采收的吸光成为“绵茵陈”。秋季采割的则称为“茵陈蒿”。,主产安徽、陕西、山西等地。,绵茵陈：多卷曲成团状，灰白色或灰绿色，全体密被白色茸毛，绵软如绒。茎细小，长1.5~2.5cm，直径0.1~0.2cm，除去表面白色茸毛后可见明显纵纹；质脆，易折断。叶具柄；展平后叶片呈一至三回羽状分裂，叶片长1~3cm，宽约1cm；小裂片卵形或稍呈倒披针形、条形，先端尖锐。气清香，味微苦。茵陈蒿：茎呈圆柱形，多分枝，长30~100cm，直径2~8mm；表面淡紫色或紫色，有纵条纹，被短柔毛；体轻，质脆，断面类白色。叶密集，或多脱落；下部叶二至三回羽状深裂，裂片条形或细条形，两面密被白色柔毛；茎生叶一至二回羽状全裂，基部抱茎，裂片细丝状；头状花序卵形，多数集成圆锥状，长1.2~1.5mm，直径1~1.2mm，有短梗；总苞片3~4层，卵形，苞片3裂；外层雌花6~10个，可多达15个，内层两性花2~10个。瘦果长圆形，黄棕色。气芳香，味微苦。,以质嫩、绵软、色灰白、香气浓者为佳。,苦、辛，微寒。,清热利湿；退黄。主治：黄疸、小便不利、湿疮瘙痒、传染性黄疸型肝炎。
淫羊藿,Yinyanghuo,Short-horned Epimedium Herb,Epimedii Folium,全草类,小檗科植物淫羊藿Epimedium brevicornum Maxim. 、箭叶淫羊藿Epimedium sagittatum (Sieb.et Zucc.) Maxim. 、柔毛淫羊藿Epimedium pubescens Maxim.、巫山淫羊藿Epimedium wushanense T. S.Ying、或朝鲜淫羊藿Epimedium koreanum Nakai的干燥地上部分。,主产安徽、湖北、陕西、浙江等地。,淫羊藿：茎细圆柱形，长约20cm，表面黄绿色或淡黄色，具光泽。茎生叶对生，二回三出复叶；小叶片卵圆形，长3~8cm，宽2~6cm；先端微尖，顶生小叶基部心形，两侧小叶较小，偏心形，外侧较大，呈耳状，边缘具黄色刺毛状细锯齿；上表面黄绿色，下表面灰绿色，主脉7~9条，基部有稀疏细长毛，细脉两面突起，网脉明显；小叶柄长1~5cm。叶片近革质。无臭，味微苦。箭叶淫羊藿：一回三出复叶，小叶片长卵形至卵状披针形，长4~12cm，宽2.5~5cm；先端浙尖，两侧小叶基部明显偏斜，外侧呈箭形。下表面疏被粗短伏毛或近无毛。叶片革质。柔毛淫羊藿：叶下表面及叶柄密被绒毛状柔毛。巫山淫羊藿：小叶片披针形至狭披针形，长9~23cm，宽1.8~4.5cm；先端渐尖或长渐尖，边缘具刺齿，侧生小叶基部的裂片偏斜，内边裂片小，圆形，外边裂片大，三角形，渐尖。下表面被绵毛或秃净。朝鲜淫羊藿：小叶较大，长4~10cm，宽3.5~7cm，先端长尖。叶片较薄。,以叶多、不碎、黄绿色者为佳。,辛、甘，温。,补肾阳，强筋骨，祛风湿。
鱼腥草,Yuxingcao,Heartleaf Houttuynia Herb,Houttuyniae Herba,全草类,三白草科植物蕺菜Houttuynia cordata Thunb.的新鲜全草或干燥地上部分。,主产长江以南各地。,干品茎呈扁圆柱形，扭曲，长20~35cm，直径0.2~0.3cm；表面棕黄色，具纵棱数条，节明显，下部节上有残存须根；质脆，易折断。叶互生，叶片卷折皱缩，展平后呈心形，长3~5cm，宽3~4.5cm；先端渐尖，全缘；上表面暗黄绿色至暗棕色，下表面灰绿色或灰棕色；叶柄细长，基部与托叶合生成鞘状。穗状花序顶生，黄棕色。搓碎有鱼腥气，味微涩。,以叶多、色绿、有花穗、鱼腥气浓者为佳。,苦、微寒。,清热解毒；排脓消痈；利尿通淋。主治肺痈吐脓；痰热喘咳；喉咙；热痢；痈肿疮毒；热淋。
肿节风,Zhongjiefeng,Glabrous Scrcandra Herb,Sarcandrae Herba,全草类,金粟兰科植物草珊瑚Sarcandra glabra (Thunb.) Nakai的干燥全草。,主产四川、广西、浙江、江西等地。,本品长50~120cm。根茎较粗大，密生细根。茎圆柱形，多分枝，直径0.3~1.3cm；表面暗绿色至暗褐色，有明显细纵纹，散有纵向皮孔，节膨大；质脆，易折断，断面有髓或中空。叶对生，叶片卵状披针形至卵状椭圆形，长5~15cm，宽3~6cm；表面绿色、绿褐色至棕褐色或棕红色，光滑；边缘有粗锯齿，齿尖腺体黑褐色，叶柄长约 1cm；近革质。穗状花序顶生，常分枝。气微香，味微辛。,以茎、叶色绿者为佳。,苦、辛，平。,抗菌消炎，祛风通络，活血散结。用于肺炎、阑尾炎、蜂窝组织炎、风湿痹痛、跌扑损伤、肿瘤。
佩兰,Peilan,Fortune’s Eupatorium Herb,Eupatorii Herba,全草类,菊科植物佩兰Eupatorium fortunei Turcz.的干燥地上部分。,主产于河北、山东、江苏、广东、广西、四川、贵州、云南、浙江、福建等地区。,本品茎呈圆柱形，表面黄棕色或黄绿色，有的带紫色，有明显的节和纵棱线；质脆，断面髓部白色或中空。叶对生，有柄，叶片多皱缩、破碎，绿褐色，完整叶片3裂或不分裂，分裂者中间裂片较大，展平后呈披针形或长圆状披针形，基部狭窄，边缘有锯齿；不分裂者展平后呈卵圆形、卵状披针形或椭圆形。气芳香，味微苦。,以质嫩、叶多、色绿、香气浓郁者为佳。,辛，平。,芳香化湿，醒脾开胃，发表解暑。用于湿浊中阻，脘痞呕恶，口中甜腻，口臭，多涎，暑湿表证，湿温初起，发热倦怠，胸闷不舒。
泽兰,Zelan,Hirsute Bugleweed Herb,Lycopi Herba,全草类,唇形科植物毛叶地瓜儿苗Lycopus lucidus Turcz. var. hirtus Regel的干燥地上部分。,主产于江苏、浙江、安徽等地区。,本品茎呈方柱形，少分枝，四面均有浅纵沟，表面黄绿色或带紫色，节处紫色明显，有白色茸毛；质脆，断面黄白色，髓部中空。叶对生，有短柄或近无柄；叶片多皱缩，展平后呈披针形或长圆形。上表面黑绿色或暗绿色，下表面灰绿色，密具腺点，两面均有短毛；先端尖.基部渐狭，边缘有锯齿。轮伞花序腋生，花冠多脱落，苞片和花萼宿存，小包片披针形，有缘毛，花萼钟形，5齿。气微，味淡。,以身干、质嫩、色绿、叶多、不破碎者为佳。,苦、辛，微温。,活血调经，祛瘀消痈，利水消肿。用于月经不调，经闭，痛经，产后瘀血腹痛，疮痈肿毒，水肿腹水。
丁香,Dingxiang,Clove,Caryophylli Flos,花类,桃金娘科植物丁香Eugenia caryophyllata Thunb.的干燥花蕾。,主产于坦桑尼亚的桑给巴尔岛以及马来西亚、印尼等地。我国海南、广东有栽培。,干燥的花蕾略呈短棒状，长1.5~2cm，红棕色至暗棕色；下部为圆柱状略扁的萼管，长1~1.3cm，宽约5mm，厚约3mm，基部渐狭小，表面粗糙，刻之有油渗出，萼管上端有4片三角形肥厚的萼；上部近圆球形，径约6mm，具花瓣4片，互相抱合。将花蕾剖开，可见多数雄蕊，花丝向中心弯曲，中央有一粗壮直立的花柱，质坚实而重，入水即沉；断面有油性，用指甲划之可见油质渗出；气强烈芳香，味辛。,以个大、粗壮、鲜紫棕色、香气强烈、油多者为佳。,甘，温。,暖胃，温肾。治胃寒痛胀、呃逆、吐泻、痹痛、疝痛、口臭、牙痛。
